confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated
10736,100,NV,23.14
10757,101,NV,23.44
10770,101,NV,23.44
10781,102,NV,24.05
10795,104,NV,24.98
10814,104,NV,25.97
10826,104,NV,26.78
10838,104,NV,28.39
10849,104,NV,29.23
10854,104,NV,29.23
10857,105,NV,31.06
10869,105,NV,33.24
10879,105,NV,35.06
10892,106,NV,36.6
10902,106,NV,38.19
10915,107,NV,40.76
10917,107,NV,44.36
10922,107,NV,45.28
10936,107,NV,46.25
10951,107,NV,46.42
10957,107,NV,46.8
10969,107,NV,47.34
10974,107,NV,47.67
10978,107,NV,47.67
10985,107,NV,47.94
10993,107,NV,48.24
11006,107,NV,48.55
11018,107,NV,49.37
11033,107,NV,49.38
11041,107,NV,49.38
11057,107,NV,49.38
11059,107,NV,49.65
11064,107,NV,49.99
11068,107,V,50.3
11069,107,V,50.58
11072,107,V,50.87
11076,107,V,52.06
11080,107,V,52.06
11081,107,V,52.31
11084,107,V,52.54
11089,107,V,52.8
11099,107,V,53.07
11103,107,V,53.35
11106,107,V,53.35
11108,107,V,53.57
11112,107,V,53.84
11116,107,V,53.85
11118,107,V,54.23
11125,107,V,54.49
11126,107,V,54.49
11131,107,V,54.49
11131,107,V,54.49
11132,107,V,54.87
11135,107,V,55.21
11138,107,V,55.82
11140,107,V,55.91
11144,107,V,56.26
11144,107,V,56.26
11144,107,V,56.26
11144,107,V,56.67
11144,107,V,57
11144,107,V,57.28
11144,107,V,57.55
11169,107,V,57.9
11169,107,V,58.01
11169,107,V,58.01
11169,107,V,58.23
11180,108,V,58.4
11186,108,V,58.64
11199,108,V,58.9
11199,108,V,58.91
11223,108,V,58.91
11235,108,V,58.91
11244,108,V,59.27
11257,109,V,59.28
11272,109,V,59.49
11293,109,V,59.7
11325,109,V,59.74
11354,109,V,59.74
11382,109,V,59.74
11405,109,V,59.96
11460,109,V,60.17
11521,109,V,60.41
11584,110,V,60.63
11651,110,V,60.88
11730,110,V,61.73
11765,110,V,61.73
11807,111,V,61.88
11877,111,V,62.18
12000,111,V,62.24
12000,111,V,62.37
12262,111,V,62.54
12371,111,V,62.54
12455,111,V,62.54
12529,111,V,62.71
12636,111,V,62.85
12791,113,V,63.09
12929,115,V,63.19
13121,115,V,63.43
13279,116,V,63.43
13350,119,V,63.43
13406,121,V,63.65
13511,121,V,63.92
13511,121,V,64.1
13719,124,V,64.26
13871,124,V,64.34
13948,126,V,64.34
14003,126,V,64.49
14060,128,V,64.55
14153,128,V,64.58
14231,132,V,64.64
14318,133,V,64.73
14374,133,V,64.83
14429,137,V,64.83
14465,137,V,64.92
14508,139,V,64.95
14576,146,V,65.34
14662,146,V,65.55
14719,148,V,65.69
14764,149,V,65.8
14812,150,V,65.8
14812,150,V,65.8
14861,151,V,66.11
14913,151,V,66.16
14955,153,V,66.35
14991,154,V,66.52
15022,154,V,66.68
15057,155,V,67.15
15076,155,V,68.43
15092,155,V,68.43
15129,156,V,68.73
15155,156,V,69.08
15177,156,V,69.36
15202,157,V,69.36
15221,158,V,69.36
15249,158,V,69.36
15274,159,V,69.5
15305,159,V,69.7
15305,159,V,69.71
15351,160,V,69.85
15370,160,V,69.95
15405,165,V,69.97
15416,165,V,69.99
15432,166,V,70.04
15448,166,V,70.14
15472,166,V,70.21
15500,166,V,70.27
15514,166,V,70.35
15533,167,V,70.35
15536,167,V,70.35
15543,167,V,70.49
15560,168,V,70.64
15578,168,V,70.79
15587,169,V,70.93
15605,169,V,71.01
15626,169,V,71.01
15626,169,V,71.08
15645,170,V,71.08
15663,170,V,71.15
15663,170,V,71.28
15692,170,V,71.33
15702,170,V,71.4
15715,170,V,71.4
15720,170,V,71.4
15732,170,V,71.49
15746,170,V,71.62
15765,170,V,71.69
15779,171,V,71.74
15790,171,V,71.81
15800,171,V,71.81
15807,171,V,71.81
15815,171,V,71.86
15848,171,V,71.91
15865,171,V,71.99
15882,171,V,72.04
15901,171,V,72.1
15916,171,V,72.1
15925,171,V,72.1
15931,171,V,72.19
15937,171,V,72.24
15949,171,V,72.34
15965,171,V,72.34
15981,172,V,72.4
15997,172,V,72.4
16006,172,V,72.4
16011,172,V,72.44
16011,172,V,72.48
16039,172,V,72.56
16057,172,V,72.62
16071,172,V,72.68
16076,172,V,72.68
16083,172,V,72.68
16089,172,V,72.73
16113,172,V,72.78
16133,173,V,72.86
16149,173,V,72.9
16171,173,V,72.97
16194,173,V,72.98
16202,173,V,73.03
16210,173,V,73.03
16230,173,V,73.11
16246,173,V,73.15
16263,174,V,73.24
16291,174,V,73.26
16312,174,V,73.26
16324,174,V,73.27
16335,174,V,73.27
16354,174,V,73.27
16372,174,V,73.27
16392,174,V,73.35
16414,174,V,73.42
16432,174,V,73.42
16450,174,V,73.42
16450,174,V,73.47
16484,175,V,73.53
16505,176,V,73.57
16531,176,V,73.62
16549,177,V,73.65
16575,177,V,73.65
16593,177,V,73.65
16593,177,V,73.7
16646,178,V,73.71
16673,178,V,73.75
16716,178,V,73.77
16751,180,V,73.86
16778,180,V,73.86
16807,180,V,73.86
16848,180,V,73.93
16920,180,V,73.93
17041,180,V,73.97
17165,181,V,74.03
17324,181,V,74.03
17500,181,V,74.03
17648,181,V,74.03
17896,181,V,74.09
18350,181,V,74.17
19021,181,V,74.17
19719,181,V,74.21
20461,181,V,74.21
20982,181,V,74.21
21471,181,V,74.21
22020,181,V,74.21
23048,181,V,74.24
24210,181,V,74.27
25254,181,V,74.33
26166,181,V,74.36
26867,181,V,74.36
27392,182,V,74.36
27891,182,V,74.42
28601,182,V,74.43
29176,182,V,74.51
29694,184,V,74.54
30105,184,V,74.57
30420,184,V,74.57
30677,184,V,74.57
30976,186,V,74.6
31338,186,V,74.65
31603,187,V,74.69
31835,187,V,74.73
32056,187,V,74.8
32220,187,V,74.8
32322,191,V,74.8
32405,193,V,74.8
32524,193,V,74.84
32562,193,V,74.84
32718,193,V,74.89
32808,193,V,74.93
32900,193,V,74.93
32956,193,V,74.93
33000,193,V,74.97
33084,193,V,75.02
33146,193,V,75.05
33200,194,V,75.08
33242,194,V,75.11
33282,195,V,75.11
33302,195,V,75.11
33328,195,V,75.14
33377,196,V,75.17
33406,196,V,75.21
33436,196,V,75.24
33455,196,V,75.28
33483,198,V,75.28
33500,198,V,75.28
33513,198,V,75.31
33531,198,V,75.33
33544,198,V,75.37
33568,198,V,75.4
33585,198,V,75.45
33600,198,V,75.45
33606,198,V,75.45
33618,211,V,75.47
33631,211,V,75.49
33643,211,V,75.51
33655,211,V,75.53
33670,211,V,75.56
33676,211,V,75.56
33676,211,V,75.56
33684,211,V,75.56
33684,211,V,75.6
33684,211,V,75.63
33684,211,V,75.64
33732,212,V,75.66
33732,212,V,75.66
33732,212,V,75.67
33732,212,V,75.69
33732,212,V,75.72
33732,212,V,75.74
33732,212,V,75.79
33796,212,V,75.79
33796,212,V,75.8
33796,212,V,75.8
33796,212,V,75.82
33796,212,V,75.83
33817,212,V,75.85
33843,212,V,75.87
33843,212,V,75.87
33843,212,V,75.87
33843,212,V,75.87
33843,212,V,75.95
33843,212,V,76.02
33843,212,V,76.11
33843,212,V,76.16
33929,212,V,76.26
33929,212,V,76.26
33929,212,V,76.26
33929,212,V,76.35
33929,212,V,76.41
33966,212,V,76.46
33966,212,V,76.48
34051,212,V,76.48
34051,212,V,76.48
34051,212,V,76.52
34051,212,V,76.55
34051,212,V,76.59
34089,212,V,76.61
34089,212,V,76.63
34189,212,V,76.67
34189,212,V,76.67
34189,212,V,76.67
34189,212,V,76.7
34189,212,V,76.72
34264,212,V,76.76
34345,212,V,76.77
34345,212,V,76.77
34345,212,V,76.77
34345,212,V,76.77
34345,212,V,76.77
34345,212,V,76.81
34446,271,V,76.84
34446,212,V,76.86
34589,212,V,76.89
34589,212,V,76.89
34589,212,V,76.89
34589,212,V,76.91
34589,212,V,76.93
34693,212,V,76.93
34693,212,V,76.95
34846,212,V,76.97
34846,212,V,76.97
34846,212,V,76.97
34846,212,V,76.97
34846,212,V,76.99
34965,212,V,77.01
34965,212,V,77.03
35189,212,V,77.04
35189,212,V,77.04
35189,212,V,77.04
35189,212,V,77.04
35189,212,V,77.07
35334,212,V,77.08
35334,212,V,77.11
35693,213,V,77.14
35693,213,V,77.14
35693,213,V,77.14
35693,213,V,77.17
35693,213,V,77.19
35920,213,V,77.21
35920,213,V,77.23
36316,213,V,77.25
36316,213,V,77.25
36316,213,V,77.25
36316,213,V,77.26
36316,213,V,77.28
36564,213,V,77.3
36564,213,V,77.3
37034,213,V,77.3
37034,213,V,77.3
37034,213,V,77.3
37034,213,V,77.32
37034,213,V,77.35
37352,213,V,77.37
37352,213,V,77.39
37975,216,V,77.45
37975,216,V,77.45
37975,216,V,77.45
37975,216,V,77.48
37975,216,V,77.5
38301,216,V,77.53
38301,216,V,77.54
39057,216,V,77.58
39057,216,V,77.58
39057,216,V,77.58
39057,216,V,77.6
39057,216,V,77.62
39339,219,V,77.64
39339,219,V,77.65
39980,219,V,77.67
39980,219,V,77.67
39980,219,V,77.67
39980,219,V,77.69
39980,219,V,77.71
40179,221,V,77.73
40179,221,V,77.75
40179,221,V,77.77
40595,221,V,77.77
40595,221,V,77.77
40595,221,V,77.79
40595,221,V,77.81
40718,221,V,77.81
40718,221,V,77.81
40718,221,V,77.83
40718,221,V,77.83
40718,221,V,77.83
41000,222,V,77.86
41000,222,V,77.88
41000,222,V,77.9
41000,222,V,77.91
41448,224,V,77.94
41448,224,V,77.94
41448,224,V,77.94
41448,224,V,77.96
41448,224,V,77.98
41448,224,V,77.99
41448,224,V,78
41787,224,V,78.02
41787,224,V,78.02
